Name,Time,Emotion
Unknown,2024-12-20 09:46:02,Sad
Unknown,2024-12-20 09:46:02,Sad
Unknown,2024-12-20 09:46:03,Sad
Unknown,2024-12-20 09:46:03,Sad
Unknown,2024-12-20 09:46:04,Sad
Unknown,2024-12-20 09:46:04,Sad
Unknown,2024-12-20 09:46:04,Sad
Unknown,2024-12-20 09:46:05,Sad
Unknown,2024-12-20 09:46:05,Sad
Unknown,2024-12-20 09:46:06,Sad
Unknown,2024-12-20 09:46:06,Sad
Unknown,2024-12-20 09:46:07,Sad
Unknown,2024-12-20 09:46:07,Sad
Unknown,2024-12-20 09:46:08,Sad
Unknown,2024-12-20 09:46:08,Sad
Unknown,2024-12-20 09:46:09,Sad
Unknown,2024-12-20 09:46:09,Sad
Unknown,2024-12-20 09:46:10,Sad
Unknown,2024-12-20 09:46:10,Sad
Unknown,2024-12-20 09:46:10,Sad
Unknown,2024-12-20 09:46:11,Sad
Unknown,2024-12-20 09:46:11,Sad
Unknown,2024-12-20 09:46:12,Sad
Unknown,2024-12-20 09:46:12,Sad
Unknown,2024-12-20 09:46:13,Sad
Unknown,2024-12-20 09:46:13,Sad
Unknown,2024-12-20 09:46:14,Sad
Unknown,2024-12-20 09:46:14,Sad
Unknown,2024-12-20 09:46:15,Sad
Unknown,2024-12-20 09:46:15,Sad
Unknown,2024-12-20 09:46:15,Sad
Unknown,2024-12-20 09:46:16,Sad
Unknown,2024-12-20 09:46:16,Sad
Unknown,2024-12-20 09:46:17,Sad
Unknown,2024-12-20 09:46:17,Sad
Unknown,2024-12-20 09:46:18,Sad
Unknown,2024-12-20 09:46:18,Sad
Unknown,2024-12-20 09:46:19,Sad
Unknown,2024-12-20 09:46:19,Sad
Unknown,2024-12-20 09:46:19,Sad
Unknown,2024-12-20 09:46:20,Sad
Unknown,2024-12-20 09:46:20,Sad
Unknown,2024-12-20 09:46:21,Sad
Unknown,2024-12-20 09:46:21,Sad
Unknown,2024-12-20 09:46:22,Sad
Unknown,2024-12-20 09:46:22,Sad
Unknown,2024-12-20 09:46:23,Sad
Unknown,2024-12-20 09:46:23,Sad
Unknown,2024-12-20 09:46:24,Sad
Unknown,2024-12-20 09:46:24,Sad
Unknown,2024-12-20 09:46:24,Sad
Unknown,2024-12-20 09:46:25,Sad
Unknown,2024-12-20 09:46:25,Sad
Unknown,2024-12-20 09:46:26,Sad
Unknown,2024-12-20 09:46:26,Sad
Unknown,2024-12-20 09:46:27,Sad
Unknown,2024-12-20 09:46:27,Sad
Unknown,2024-12-20 09:46:28,Sad
Unknown,2024-12-20 09:46:28,Sad
Unknown,2024-12-20 09:46:28,Sad
Unknown,2024-12-20 09:46:29,Sad
Unknown,2024-12-20 09:46:29,Sad
Unknown,2024-12-20 09:46:30,Sad
Unknown,2024-12-20 09:46:30,Sad
Unknown,2024-12-20 09:46:31,Sad
Unknown,2024-12-20 09:46:31,Sad
Unknown,2024-12-20 09:46:32,Sad
Unknown,2024-12-20 09:46:32,Sad
Unknown,2024-12-20 09:46:33,Sad
Unknown,2024-12-20 09:46:33,Sad
Unknown,2024-12-20 09:46:34,Sad
Unknown,2024-12-20 09:46:34,Sad
Unknown,2024-12-20 09:46:35,Sad
Unknown,2024-12-20 09:46:35,Sad
Unknown,2024-12-20 09:46:36,Sad
Unknown,2024-12-20 09:46:36,Sad
Unknown,2024-12-20 09:46:37,Sad
Unknown,2024-12-20 09:46:37,Sad
Unknown,2024-12-20 09:46:38,Sad
Unknown,2024-12-20 09:46:38,Sad
Unknown,2024-12-20 09:46:39,Sad
Unknown,2024-12-20 09:46:39,Sad
Unknown,2024-12-20 09:46:39,Sad
Unknown,2024-12-20 09:46:40,Sad
Unknown,2024-12-20 09:46:40,Sad
Unknown,2024-12-20 09:46:41,Sad
Unknown,2024-12-20 09:46:41,Sad
Unknown,2024-12-20 09:46:42,Sad
Unknown,2024-12-20 09:46:42,Sad
Unknown,2024-12-20 09:46:43,Sad
Unknown,2024-12-20 09:46:43,Sad
Unknown,2024-12-20 09:46:44,Sad
Unknown,2024-12-20 09:46:44,Sad
Unknown,2024-12-20 09:46:45,Sad
Unknown,2024-12-20 09:46:45,Sad
Unknown,2024-12-20 09:46:46,Sad
Unknown,2024-12-20 09:46:46,Sad
Unknown,2024-12-20 09:46:47,Sad
Unknown,2024-12-20 09:46:47,Sad
Unknown,2024-12-20 09:46:48,Sad
Unknown,2024-12-20 09:46:48,Sad
Unknown,2024-12-20 09:46:49,Sad
Unknown,2024-12-20 09:46:49,Sad
Unknown,2024-12-20 09:46:49,Sad
Unknown,2024-12-20 09:46:50,Sad
Unknown,2024-12-20 09:46:50,Sad
Unknown,2024-12-20 09:46:51,Sad
Unknown,2024-12-20 09:46:51,Sad
Unknown,2024-12-20 09:46:52,Sad
Unknown,2024-12-20 09:46:52,Sad
Unknown,2024-12-20 09:46:53,Sad
Unknown,2024-12-20 09:46:53,Sad
Unknown,2024-12-20 09:46:54,Sad
Unknown,2024-12-20 09:46:54,Sad
Unknown,2024-12-20 09:46:55,Sad
Unknown,2024-12-20 09:46:55,Sad
Unknown,2024-12-20 09:46:56,Sad
Unknown,2024-12-20 09:46:56,Sad
Unknown,2024-12-20 09:46:57,Sad
Unknown,2024-12-20 09:46:57,Sad
Unknown,2024-12-20 09:46:58,Sad
Unknown,2024-12-20 09:46:58,Sad
Unknown,2024-12-20 09:46:58,Sad
Unknown,2024-12-20 09:46:59,Sad
Unknown,2024-12-20 09:46:59,Sad
Unknown,2024-12-20 09:47:00,Sad
Unknown,2024-12-20 09:47:00,Sad
Unknown,2024-12-20 09:47:01,Sad
Unknown,2024-12-20 09:47:01,Sad
Unknown,2024-12-20 09:47:02,Sad
Unknown,2024-12-20 09:47:02,Sad
Unknown,2024-12-20 09:47:03,Sad
Unknown,2024-12-20 09:47:03,Sad
Unknown,2024-12-20 09:47:04,Sad
Unknown,2024-12-20 09:47:04,Sad
Unknown,2024-12-20 09:47:05,Sad
Unknown,2024-12-20 09:47:05,Sad
Unknown,2024-12-20 09:47:06,Sad
Unknown,2024-12-20 09:47:07,Sad
Unknown,2024-12-20 09:47:08,Sad
Unknown,2024-12-20 09:47:08,Sad
Unknown,2024-12-20 09:47:09,Sad
Unknown,2024-12-20 09:47:09,Sad
Unknown,2024-12-20 09:47:09,Sad
Unknown,2024-12-20 09:47:10,Sad
Unknown,2024-12-20 09:47:10,Sad
Unknown,2024-12-20 09:47:12,Sad
Unknown,2024-12-20 09:47:14,Sad
Unknown,2024-12-20 09:47:14,Sad
Unknown,2024-12-20 09:47:15,Sad
Unknown,2024-12-20 09:47:15,Sad
Unknown,2024-12-20 09:47:16,Sad
Unknown,2024-12-20 09:47:16,Sad
Unknown,2024-12-20 09:47:17,Sad
Unknown,2024-12-20 09:47:17,Sad
Unknown,2024-12-20 09:47:18,Sad
Unknown,2024-12-20 09:47:18,Sad
Unknown,2024-12-20 09:47:18,Sad
Unknown,2024-12-20 09:47:19,Sad
Unknown,2024-12-20 09:47:19,Sad
Unknown,2024-12-20 09:47:20,Sad
Unknown,2024-12-20 09:47:20,Sad
Unknown,2024-12-20 09:47:21,Sad
Unknown,2024-12-20 09:47:24,Sad
Unknown,2024-12-20 09:47:24,Sad
Unknown,2024-12-20 09:47:25,Sad
Unknown,2024-12-20 09:47:25,Sad
Unknown,2024-12-20 09:47:25,Sad
Unknown,2024-12-20 09:47:26,Sad
Unknown,2024-12-20 09:47:26,Sad
Unknown,2024-12-20 09:47:27,Sad
Unknown,2024-12-20 09:47:27,Sad
Unknown,2024-12-20 09:47:28,Sad
Unknown,2024-12-20 09:47:28,Sad
Unknown,2024-12-20 09:47:29,Sad
Unknown,2024-12-20 09:47:30,Sad
Unknown,2024-12-20 09:47:34,Sad
Unknown,2024-12-20 09:47:34,Sad
Unknown,2024-12-20 09:47:35,Sad
Unknown,2024-12-20 09:47:37,Sad
Unknown,2024-12-20 09:47:38,Sad
Unknown,2024-12-20 09:47:39,Sad
Unknown,2024-12-20 09:47:39,Sad
Unknown,2024-12-20 09:47:39,Sad
Unknown,2024-12-20 09:47:40,Sad
Unknown,2024-12-20 09:47:40,Sad
Unknown,2024-12-20 09:47:42,Sad
Unknown,2024-12-20 09:47:43,Sad
Unknown,2024-12-20 09:47:44,Sad
Unknown,2024-12-20 09:47:44,Sad
Unknown,2024-12-20 09:47:45,Sad
Unknown,2024-12-20 09:47:45,Sad
Unknown,2024-12-20 09:47:46,Sad
Unknown,2024-12-20 09:47:46,Sad
Unknown,2024-12-20 09:47:46,Sad
Unknown,2024-12-20 09:47:47,Sad
Unknown,2024-12-20 09:47:47,Sad
Unknown,2024-12-20 09:47:48,Sad
Unknown,2024-12-20 09:47:48,Sad
Unknown,2024-12-20 09:47:49,Sad
Unknown,2024-12-20 09:47:49,Sad
Unknown,2024-12-20 09:47:50,Sad
Unknown,2024-12-20 09:47:50,Sad
Unknown,2024-12-20 09:47:51,Sad
Unknown,2024-12-20 09:47:51,Sad
Unknown,2024-12-20 09:47:51,Sad
Unknown,2024-12-20 09:47:52,Sad
Unknown,2024-12-20 09:47:52,Sad
Unknown,2024-12-20 09:47:53,Sad
Unknown,2024-12-20 09:47:53,Sad
Unknown,2024-12-20 09:47:54,Sad
Unknown,2024-12-20 09:47:54,Sad
Unknown,2024-12-20 09:47:55,Sad
Unknown,2024-12-20 09:47:55,Sad
Unknown,2024-12-20 09:47:56,Sad
Unknown,2024-12-20 09:47:56,Sad
Unknown,2024-12-20 09:47:57,Sad
Unknown,2024-12-20 09:47:57,Sad
Unknown,2024-12-20 09:47:58,Sad
Unknown,2024-12-20 09:47:58,Sad
Unknown,2024-12-20 09:47:59,Sad
Unknown,2024-12-20 09:47:59,Sad
Unknown,2024-12-20 09:48:00,Sad
Unknown,2024-12-20 09:48:00,Sad
Unknown,2024-12-20 09:48:01,Sad
Unknown,2024-12-20 09:48:01,Sad
Unknown,2024-12-20 09:48:02,Sad
Unknown,2024-12-20 09:48:02,Sad
Unknown,2024-12-20 09:48:02,Sad
Unknown,2024-12-20 09:48:03,Sad
Unknown,2024-12-20 09:48:03,Sad
Unknown,2024-12-20 09:48:04,Sad
Unknown,2024-12-20 09:48:04,Sad
Unknown,2024-12-20 09:48:05,Sad
Unknown,2024-12-20 09:48:05,Sad
Unknown,2024-12-20 09:48:06,Sad
Unknown,2024-12-20 09:48:06,Sad
Unknown,2024-12-20 09:48:07,Sad
Unknown,2024-12-20 09:48:07,Sad
